Store|URL|Scrapability|Similars
US_BASED
Target
Walmart
Albertsons, LLC
(Ahold Delhaize)Food Lion|https://shop.foodlion.com/|Fully
(Ahold Delhaize)Giant Food|https://www.aholdusa.com/shareddev_ausa/greatent_pp/index.html?t=1&store_num=6243|Fully|Food Lion
Ahold Delhaize|
(Stop & Shop)Peapod|https://www.peapod.com/browse-aisles/categories/1|Fully|Food Lion
Kroger
Bristol Farms
FreshDirect|https://www.freshdirect.com/index.jsp?serviceType=HOME|Fully|
Sprouts Farmers Market|https://shop.sprouts.com/|Fully|Food Lion
Trader Joe's|https://www.traderjoes.com|No online store available
Whole Foods|https://products.wholefoodsmarket.com/|Fully, large site !|
UK_BASED
Aldi
Asda
Co-op
Iceland
Lidl|https://www.lidl.co.uk/our-products/|Fully
Marks & Spencer|https://www.marksandspencer.com/c/food-to-order|Fully
Morrisons
Ocado
Sainsbury'sÂ 
Tesco
Waitrose|https://www.waitrose.com/ecom/shop/browse/groceries/|Fully
